credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
619,0,0,42,2,0.0,1,1,1,101348.88,1
608,2,0,41,1,83807.86,1,0,1,112542.58,0
502,0,0,42,8,159660.8,3,1,0,113931.57,1
699,0,0,39,1,0.0,2,0,0,93826.63,0
850,2,0,43,2,125510.82,1,1,1,79084.1,0
645,2,1,44,8,113755.78,2,1,0,149756.71,1
822,0,1,50,7,0.0,2,1,1,10062.8,0
376,1,0,29,4,115046.74,4,1,0,119346.88,1
501,0,1,44,4,142051.07,2,0,1,74940.5,0
684,0,1,27,2,134603.88,1,1,1,71725.73,0
528,0,1,31,6,102016.72,2,0,0,80181.12,0
497,2,1,24,3,0.0,2,1,0,76390.01,0
476,0,0,34,10,0.0,2,1,0,26260.98,0
549,0,0,25,5,0.0,2,0,0,190857.79,0
635,2,0,35,7,0.0,2,1,1,65951.65,0
616,1,1,45,3,143129.41,2,0,1,64327.26,0
653,1,1,58,1,132602.88,1,1,0,5097.67,1
549,2,0,24,9,0.0,2,1,1,14406.41,0
587,2,1,45,6,0.0,1,0,0,158684.81,0
726,0,0,24,6,0.0,2,1,1,54724.03,0
732,0,1,41,8,0.0,2,1,1,170886.17,0
636,2,0,32,8,0.0,2,1,0,138555.46,0
510,2,0,38,4,0.0,1,1,0,118913.53,1
669,0,1,46,3,0.0,2,0,1,8487.75,0
846,0,0,38,5,0.0,1,1,1,187616.16,0
577,0,1,25,3,0.0,2,0,1,124508.29,0
756,1,1,36,2,136815.64,1,1,1,170041.95,0
571,0,1,44,9,0.0,2,0,0,38433.35,0
574,1,0,43,3,141349.43,1,1,1,100187.43,0
411,0,1,29,0,59697.17,2,1,1,53483.21,0
591,2,0,39,3,0.0,3,1,0,140469.38,1
533,0,1,36,7,85311.7,1,0,1,156731.91,0
553,1,1,41,9,110112.54,2,0,0,81898.81,0
520,2,0,42,6,0.0,2,1,1,34410.55,0
722,2,0,29,9,0.0,2,1,1,142033.07,0
475,0,0,45,0,134264.04,1,1,0,27822.99,1
490,2,1,31,3,145260.23,1,0,1,114066.77,0
804,2,1,33,7,76548.6,1,0,1,98453.45,0
850,0,1,36,7,0.0,1,1,1,40812.9,0
582,1,1,41,6,70349.48,2,0,1,178074.04,0
472,2,1,40,4,0.0,1,1,0,70154.22,0
465,0,0,51,8,122522.32,1,0,0,181297.65,1
556,0,0,61,2,117419.35,1,1,1,94153.83,0
834,0,0,49,2,131394.56,1,0,0,194365.76,1
660,2,0,61,5,155931.11,1,1,1,158338.39,0
776,1,0,32,4,109421.13,2,1,1,126517.46,0
829,1,0,27,9,112045.67,1,1,1,119708.21,1
637,1,0,39,9,137843.8,1,1,1,117622.8,1
550,1,1,38,2,103391.38,1,0,1,90878.13,0
776,1,0,37,2,103769.22,2,1,0,194099.12,0
698,1,1,44,10,116363.37,2,1,0,198059.16,0
585,1,1,36,5,146050.97,2,0,0,86424.57,0
788,0,0,33,5,0.0,2,0,0,116978.19,0
655,1,1,41,8,125561.97,1,0,0,164040.94,1
